Destination Airport,Lat,Long,name
CGS,38.98,-76.92,College Park Airport
CGX,41.86,-87.61,Chicago Meigs Airport
CGZ,32.95,-111.77,Casa Grande Municipal Airport
CHA,35.04,-85.20,Lovell Field
CHK,35.10,-97.97,Chickasha Municipal Airport
CHO,38.14,-78.45,Charlottesville Albemarle Airport
CHS,32.90,-80.04,Charleston Air Force Base-International Airport
CIC,39.80,-121.86,Chico Municipal Airport
CID,41.88,-91.71,The Eastern Iowa Airport
CIN,42.05,-94.79,Arthur N Neu Airport
CIR,37.06,-89.22,Cairo Regional Airport
CIU,46.25,-84.47,Chippewa County International Airport
CKA,36.74,-98.12,Kegelman AF Aux Field
CKB,39.30,-80.23,North Central West Virginia Airport
GRM,47.84,-90.38,Grand Marais Cook County Airport
CKM,34.30,-90.51,Fletcher Field
CKN,47.84,-96.62,Crookston Municipal Kirkwood Field
CKV,36.62,-87.42,ClarksvilleâMontgomery County Regional Airport
KCL,56.31,-158.54,Chignik Lagoon Airport
CLE,41.41,-81.85,Cleveland Hopkins International Airport
CLI,44.61,-88.73,Clintonville Municipal Airport
CLK,35.54,-98.93,Clinton Regional Airport
CLL,30.59,-96.36,Easterwood Field
CLM,48.12,-123.50,William R Fairchild International Airport
CLR,33.13,-115.52,Cliff Hatfield Memorial Airport
CLS,46.68,-122.98,Chehalis Centralia Airport
CLT,35.21,-80.94,Charlotte Douglas International Airport
CLW,27.98,-82.76,Clearwater Air Park
CMH,40.00,-82.89,John Glenn Columbus International Airport
CMI,40.04,-88.28,University of Illinois Willard Airport
CMX,47.17,-88.49,Houghton County Memorial Airport
CMY,43.96,-90.74,Sparta Fort Mc Coy Airport
KCN,53.40,-167.52,Chernofski Harbor Seaplane Base
CNH,43.37,-72.37,Claremont Municipal Airport
CNK,39.55,-97.65,Blosser Municipal Airport
CNM,32.34,-104.26,Cavern City Air Terminal
CNO,33.97,-117.64,Chino Airport
CNU,37.67,-95.49,Chanute Martin Johnson Airport
CNW,31.64,-97.07,TSTC Waco Airport
